Year,CPI,Country Name
1960,1.003575704,GBR
1961,3.44749623,GBR
1962,4.196498882,GBR
1963,2.01854356,GBR
1964,3.281586947,GBR
1965,4.773774554,GBR
1966,3.909617792,GBR
1967,2.482115605,GBR
1968,4.697427988,GBR
1969,5.44666363,GBR
1970,6.366568417,GBR
1971,9.444837423,GBR
1972,7.071098395,GBR
1973,9.196033167,GBR
1974,16.04401119,GBR
1975,24.20728767,GBR
1976,16.55952256,GBR
1977,15.84026675,GBR
1978,8.263141039,GBR
1979,13.42127998,GBR
1980,17.96592427,GBR
1981,11.87662651,GBR
1982,8.598863833,GBR
1983,4.609303273,GBR
1984,4.960710978,GBR
1985,6.07139434,GBR
1986,3.427609404,GBR
1987,4.148922321,GBR
1988,4.155351716,GBR
1989,5.760249092,GBR
1990,8.063460909,GBR
1991,7.461782957,GBR
1992,4.591549296,GBR
1993,2.558577969,GBR
1994,2.219012605,GBR
1995,2.697495183,GBR
1996,2.851782364,GBR
1997,2.201143135,GBR
1998,1.820561637,GBR
1999,1.752950801,GBR
2000,1.182956242,GBR
2001,1.532349603,GBR
2002,1.520402459,GBR
2003,1.376500385,GBR
2004,1.390397567,GBR
2005,2.08913649,GBR
2006,2.455661664,GBR
2007,2.386561508,GBR
2008,3.521408563,GBR
2009,1.961731736,GBR
2010,2.492654725,GBR
2011,3.856112447,GBR
2012,2.573234797,GBR
2013,2.291666667,GBR
2014,1.451120163,GBR
2015,0.368046842,GBR
2016,1.008417368,GBR
2017,2.557755776,GBR
2018,2.292839903,GBR
2019,1.738104601,GBR
2020,0.989486704,GBR
2021,2.518371096,GBR
2022,7.922048831,GBR
2023,6.793967068,GBR
,1.457975986,USA
,1.070724148,USA
,1.198773348,USA
,1.239669421,USA
,1.278911565,USA
,1.585169264,USA
,3.015075377,USA
,2.772785623,USA
,4.271796153,USA
,5.4623862,USA
,5.838255338,USA
,4.292766688,USA
,3.272278247,USA
,6.177760064,USA
,11.0548048,USA
,9.143146865,USA
,5.744812635,USA
,6.501683995,USA
,7.630963839,USA
,11.25447113,USA
,13.54920197,USA
,10.33471534,USA
,6.131427,USA
,3.212435233,USA
,4.300535475,USA
,3.545644152,USA
,1.898047722,USA
,3.664563218,USA
,4.077741107,USA
,4.82700303,USA
,5.39795644,USA
,4.234963965,USA
,3.028819678,USA
,2.951656966,USA
,2.607441592,USA
,2.805419689,USA
,2.9312042,USA
,2.337689937,USA
,1.552279099,USA
,2.188027197,USA
,3.376857271,USA
,2.826171119,USA
,1.586031627,USA
,2.270094973,USA
,2.677236693,USA
,3.392746845,USA
,3.225944101,USA
,2.852672482,USA
,3.839100297,USA
,-0.355546266,USA
,1.640043442,USA
,3.156841569,USA
,2.069337265,USA
,1.464832656,USA
,1.622222977,USA
,0.118627136,USA
,1.261583206,USA
,2.130110004,USA
,2.442583297,USA
,1.812210075,USA
,1.233584396,USA
,4.697858864,USA
,8.002799821,USA
,4.116338384,USA
